Date,GC=F
2015-08-17,163660.23933595658
2015-08-18,163196.52672773023
2015-08-19,162596.21000666713
2015-08-20,170720.1019829888
2015-08-21,165770.64715913968
2015-08-24,172686.79547021913
2015-08-25,180385.64188783977
2015-08-26,191314.79575595845
2015-08-27,187287.2844308802
2015-08-28,180002.89988631423
2015-08-31,185606.9073718908
2015-09-01,195370.78918151488
2015-09-02,210533.04918225753
2015-09-03,223141.92883266433
2015-09-04,218078.56687152683
2015-09-08,242345.29917489426
2015-09-09,233694.43318284221
2015-09-10,226202.2982445648
2015-09-11,241967.87552104754
2015-09-14,248003.5214814481
2015-09-15,232549.70296303913
2015-09-16,248382.99882204557
2015-09-17,240065.50783753986
2015-09-18,260978.0347232214
2015-09-21,272779.7364706323
2015-09-22,282680.4516707265
2015-09-23,303756.9096657685
2015-09-24,350588.7841784087
2015-09-25,274208.20259514946
2015-09-28,280516.2342517021
2015-09-29,319642.799462989
2015-09-30,301422.6844920632
2015-10-01,270059.4331166823
2015-10-02,290748.4452261005
2015-10-05,270797.8382445442
2015-10-06,268009.55674498243
2015-10-07,252180.5936429762
2015-10-08,259509.28404267904
2015-10-09,236543.31345502587
2015-10-12,232607.73484018366
2015-10-13,233134.43209272405
2015-10-14,269886.51883617137
2015-10-15,249549.70186296405
2015-10-16,244854.06254766003
2015-10-19,277244.9038348665
2015-10-20,269129.27561128745
2015-10-21,270755.0963179438
2015-10-22,280189.13503435225
2015-10-23,269757.98505739646
2015-10-26,263285.3471509375
2015-10-27,271013.631549893
2015-10-28,267708.3019772417
2015-10-29,264636.62140324805
2015-10-30,249416.85047364872
2015-11-02,249905.80336486665
2015-11-03,249975.08976920746
2015-11-04,222833.28275623205
2015-11-05,229217.68962333235
2015-11-06,222066.16588422275
2015-11-09,218901.43593953285
2015-11-10,226689.58497313698
2015-11-11,213453.0785879267
2015-11-12,216688.62623817974
2015-11-13,217611.45311796063
2015-11-16,235779.13513799317
2015-11-17,228904.31697134592
2015-11-18,224812.82566725288
2015-11-19,217093.79015925725
2015-11-20,215416.7087057071
2015-11-23,199849.05601497853
2015-11-24,207705.7512461653
2015-11-25,199805.97561709562
2015-11-27,206295.23985246744
2015-11-30,232077.91943662177
2015-12-01,237780.92314578727
2015-12-02,231759.00604642238
2015-12-03,229002.2610477524
2015-12-04,215816.97252039937
2015-12-07,213089.43701321672
2015-12-08,215007.55916350798
2015-12-09,228143.49605691346
2015-12-10,210562.14693737793
2015-12-11,226397.65794118078
2015-12-14,224987.1876019505
2015-12-15,241984.83505514465
2015-12-16,250901.49101031935
2015-12-17,241330.97698034576
2015-12-18,240717.8115128863
2015-12-21,271032.2135210005
2015-12-22,278299.00565862865
2015-12-23,269737.0757766696
2015-12-24,259849.6030888737
2015-12-28,249743.27618429306
2015-12-29,237990.61601318762
2015-12-30,236341.6393692438
2015-12-31,259873.09055860757
2016-01-04,261481.75093645457
2016-01-05,286512.79634443513
2016-01-06,287121.80487650115
2016-01-07,289256.46078180475
2016-01-08,292882.6312983138
2016-01-11,278800.0924846377
2016-01-12,292187.3355768772
2016-01-13,285482.2258992417
2016-01-14,278815.32095802267
2016-01-15,281076.2263813186
2016-01-19,293895.5501452784
2016-01-20,300335.2476245309
2016-01-21,311003.77714797354
2016-01-22,326544.7248122519
2016-01-25,309395.83567879855
2016-01-26,313240.43840218557
2016-01-27,305321.2124000099
2016-01-28,316751.56798794196
2016-01-29,305433.3738500595
2016-02-01,287905.99653522106
2016-02-02,277133.29624873196
2016-02-03,287901.5085811091
2016-02-04,265695.1855992962
2016-02-05,264079.1609590198
2016-02-08,276700.9898093905
2016-02-09,274930.6880870711
2016-02-10,271179.7215762172
2016-02-11,296560.7934022204
2016-02-12,313263.00665176526
2016-02-16,307679.15550860704
2016-02-17,329878.1051894184
2016-02-18,307929.274184507
2016-02-19,322802.75679828716
2016-02-22,314741.23596751515
2016-02-23,295390.71529694163
2016-02-24,302616.8506674253
2016-02-25,302770.2502804877
2016-02-26,297517.44442890346
2016-02-29,304874.6318175607
2016-03-01,319039.4126107281
2016-03-02,293654.79316472914
2016-03-03,287712.8686083288
2016-03-04,263706.0321147278
2016-03-07,254849.90407241104
2016-03-08,257968.35129982253
2016-03-09,249214.02403427992
